,char_id,base_hp,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,race,class_starting,class_starting_level,subclass_starting,class_other,subclass_other,total_level
0,1,8,11,22,11,17,20,12,Aarakocra,Artificer,4,,,,4
1,3,103,12,17,18,14,16,16,Tiefling,Warlock,20,The Great Old One,,,20
2,8,76,18,10,16,13,13,16,Bugbear,Paladin,7,Oath of the Crown,,,7
3,10,127,10,14,16,16,15,18,Gnome,Warlock,2,,Bard/Cleric/Wizard,School of Illusion,16
4,19,52,10,10,15,12,14,10,Half-Orc,Cleric,6,Life Domain,,,6
5,44,41,15,8,14,16,13,16,Firbolg,Monk,5,Way of the Long Death,,,5
6,45,82,18,14,17,7,8,13,Goliath,Barbarian,11,Path of the Wild Soul (archived),,,11
7,48,62,8,14,13,17,12,15,Elf,Wizard,13,School of Evocation,Sorcerer,Draconic Bloodline,15
8,54,58,12,15,15,13,15,16,Human,Sorcerer,14,Shadow Magic,,,14
9,59,12,10,14,14,10,12,13,Genasi,Fighter,5,Champion,Rogue,Thief,8
10,62,12,8,14,12,14,14,10,Dwarf,Rogue,1,,,,1
11,70,18,14,15,12,13,8,10,Dwarf,Rogue,3,Thief,,,3
12,104,12,10,14,10,11,14,17,Aasimar,Bard,1,,,,1
13,124,82,8,14,14,15,12,8,Gnome,Wizard,20,School of Abjuration,,,20
14,126,100,8,14,13,12,10,15,Tiefling,Warlock,17,The Fiend,Sorcerer,Divine Soul,20
15,129,12,15,13,14,12,8,10,Goliath,Barbarian,1,,,,1
16,135,48,10,8,15,10,15,13,Halfling,Cleric,9,Tempest Domain,,,9
17,136,124,10,15,12,12,12,12,Elf,Ranger,20,Hunter,,,20
18,151,12,12,13,11,14,11,13,Aarakocra,Barbarian,5,Path of the Berserker,,,5
19,152,33,8,8,8,8,8,8,Dragonborn,Rogue,6,Mastermind,,,6
20,169,60,10,15,13,12,8,14,Human,Rogue,3,Swashbuckler,Fighter,Battle Master,10
21,185,22,14,13,10,15,12,8,Half-Elf,Wizard,5,,,,5
22,186,46,15,8,15,10,12,15,Warforged Adaptable,Paladin,6,Oath of Devotion,,,6
23,194,41,10,14,15,10,13,17,Halfling,Bard,9,College of Lore,,,9
24,197,12,0,0,0,0,0,0,Human,Fighter,7,,,,7
25,206,12,0,0,0,0,0,0,Genasi,Barbarian,1,,,,1
26,229,28,15,14,14,10,10,8,Human,Fighter,4,Champion,,,4
27,230,13,8,14,12,10,13,15,Elf,Rogue,2,,,,2
28,242,9,11,15,15,14,15,17,Human,Sorcerer,3,Draconic Bloodline,,,3
29,244,6,8,13,14,12,10,15,Human,Sorcerer,1,Draconic Bloodline,,,1
30,257,18,14,10,14,13,18,10,Human,Cleric,3,Knowledge Domain,,,3
31,260,8,14,15,16,9,14,15,Halfling,Rogue,1,,,,1
32,262,12,0,0,0,0,0,0,Human,Cleric,1,,,,1
33,354,12,0,0,0,0,0,0,Genasi,Druid,3,Circle of the Land (Forest),,,3
34,2242,46,14,12,14,8,8,15,Human,Paladin,7,Oath of Devotion,,,7
35,2243,28,11,16,13,17,13,15,Tiefling,Bard,5,College of Lore,,,5
36,2435,8,17,16,14,14,15,18,Halfling,Bard,1,,,,1
37,2444,12,13,8,14,12,10,15,Goliath,Bard,1,,,,1
38,2484,12,8,15,13,12,14,10,Halfling,Ranger,1,,,,1
39,2485,12,0,0,0,0,0,0,Human,Sorcerer,1,,,,1
40,2510,10,9,12,14,15,10,12,Elf,Wizard,2,School of Evocation,,,2
41,2515,12,0,0,0,0,0,0,Human,Fighter,3,Champion,,,3
42,2555,38,0,0,0,0,0,0,Human,Rogue,7,,,,7
43,2601,12,8,8,8,8,8,8,Goliath,Ranger,1,,,,1
44,2636,12,0,0,0,0,0,0,Genasi,Ranger,9,Hunter,,,9
45,2640,8,13,8,14,10,15,12,Halfling,Cleric,1,Life Domain,,,1
